mode,scenario_id,seed,json_valid,parse_valid,precision,recall,f1,closed_profile_jaccard,status_agreement,latency_ms,predicted_status,expected_status,diagnostic_signature_agreement,cgt_diagnostic_signature_hash,expected_cgt_diagnostic_signature_hash,run_may_available,run_must_available
llm_extraction,vague_ai_claim,101,1,1,1.0,0.916667,0.956522,0.916667,1,5399.032,unformed,unformed,0,242cfd529338a94fc9922670df2f6b544d6163d4d0179d33ade7b2c330c4d7dd,40afd3f8b71bb6e5940ad7657649b02e4c149029a156efe82b0b7d85962f84db,,
llm_extraction,vague_ai_claim,102,1,1,1.0,0.916667,0.956522,0.916667,1,5558.947,unformed,unformed,0,242cfd529338a94fc9922670df2f6b544d6163d4d0179d33ade7b2c330c4d7dd,40afd3f8b71bb6e5940ad7657649b02e4c149029a156efe82b0b7d85962f84db,,
llm_extraction,vague_ai_claim,103,1,1,1.0,0.916667,0.956522,0.916667,1,5673.794,unformed,unformed,0,242cfd529338a94fc9922670df2f6b544d6163d4d0179d33ade7b2c330c4d7dd,40afd3f8b71bb6e5940ad7657649b02e4c149029a156efe82b0b7d85962f84db,,
llm_extraction,vague_ai_claim,104,1,1,1.0,0.916667,0.956522,0.916667,1,5364.594,unformed,unformed,0,242cfd529338a94fc9922670df2f6b544d6163d4d0179d33ade7b2c330c4d7dd,40afd3f8b71bb6e5940ad7657649b02e4c149029a156efe82b0b7d85962f84db,,
llm_extraction,vague_ai_claim,105,1,1,1.0,0.916667,0.956522,0.916667,1,5588.262,unformed,unformed,0,242cfd529338a94fc9922670df2f6b544d6163d4d0179d33ade7b2c330c4d7dd,40afd3f8b71bb6e5940ad7657649b02e4c149029a156efe82b0b7d85962f84db,,
llm_extraction,benchmark_claim,101,1,1,0.0,0.0,0.0,0.0,0,15264.625,unformed,well_typed,0,624003cac36ae172f80d3bfcdaf2c589559d369b9d8a4bae55d9634141170a2e,9d31ec372ce63da8df1f3218bac10296f98bd1fca05e20cbeed810db5a7458f2,,
llm_extraction,benchmark_claim,102,1,1,0.0,0.0,0.0,0.0,0,6099.969,unformed,well_typed,0,624003cac36ae172f80d3bfcdaf2c589559d369b9d8a4bae55d9634141170a2e,9d31ec372ce63da8df1f3218bac10296f98bd1fca05e20cbeed810db5a7458f2,,
llm_extraction,benchmark_claim,103,1,1,0.0,0.0,0.0,0.0,0,6092.907,unformed,well_typed,0,624003cac36ae172f80d3bfcdaf2c589559d369b9d8a4bae55d9634141170a2e,9d31ec372ce63da8df1f3218bac10296f98bd1fca05e20cbeed810db5a7458f2,,
llm_extraction,benchmark_claim,104,1,1,0.0,0.0,0.0,0.0,0,6153.879,unformed,well_typed,0,624003cac36ae172f80d3bfcdaf2c589559d369b9d8a4bae55d9634141170a2e,9d31ec372ce63da8df1f3218bac10296f98bd1fca05e20cbeed810db5a7458f2,,
llm_extraction,benchmark_claim,105,1,1,0.0,0.0,0.0,0.0,0,6009.943,unformed,well_typed,0,624003cac36ae172f80d3bfcdaf2c589559d369b9d8a4bae55d9634141170a2e,9d31ec372ce63da8df1f3218bac10296f98bd1fca05e20cbeed810db5a7458f2,,
llm_extraction,unobservable_claim,101,1,1,0.818182,1.0,0.9,0.818182,1,15338.761,unformed,unformed,0,361cf4de081dcbc999c219d4be33ba8b7afd162e9bd60d5b4c7540c4aa67fd21,56f2abbfc665d1f56977f09c4257c0b62277b5192f24c4cb1de71d034c0f854a,,
llm_extraction,unobservable_claim,102,1,1,0.818182,1.0,0.9,0.818182,1,6610.245,unformed,unformed,0,361cf4de081dcbc999c219d4be33ba8b7afd162e9bd60d5b4c7540c4aa67fd21,56f2abbfc665d1f56977f09c4257c0b62277b5192f24c4cb1de71d034c0f854a,,
llm_extraction,unobservable_claim,103,1,1,0.818182,1.0,0.9,0.818182,1,6152.317,unformed,unformed,0,361cf4de081dcbc999c219d4be33ba8b7afd162e9bd60d5b4c7540c4aa67fd21,56f2abbfc665d1f56977f09c4257c0b62277b5192f24c4cb1de71d034c0f854a,,
llm_extraction,unobservable_claim,104,1,1,0.818182,1.0,0.9,0.818182,1,6067.494,unformed,unformed,0,361cf4de081dcbc999c219d4be33ba8b7afd162e9bd60d5b4c7540c4aa67fd21,56f2abbfc665d1f56977f09c4257c0b62277b5192f24c4cb1de71d034c0f854a,,
llm_extraction,unobservable_claim,105,1,1,0.818182,1.0,0.9,0.818182,1,6043.162,unformed,unformed,0,361cf4de081dcbc999c219d4be33ba8b7afd162e9bd60d5b4c7540c4aa67fd21,56f2abbfc665d1f56977f09c4257c0b62277b5192f24c4cb1de71d034c0f854a,,
