mode,arm_id,component,declared_rate,row_count
gold_deterministic,gold,frame,0.958333,24
gold_deterministic,gold,system,0.958333,24
gold_deterministic,gold,projection,0.875,24
gold_deterministic,gold,observation,0.875,24
gold_deterministic,gold,description,0.875,24
gold_deterministic,gold,normalizer,0.875,24
gold_deterministic,gold,expected_report,0.875,24
gold_deterministic,gold,verifier,0.875,24
gold_deterministic,gold,failure_predicate,0.875,24
gold_deterministic,gold,reproduction_protocol,0.75,24
gold_deterministic,gold,history,0.166667,24
gold_deterministic,gold,continuation,0.166667,24
gold_deterministic,gold,marker_policy,0.125,24
gold_deterministic,gold,marker_state,0.083333,24
gold_deterministic,gold,degeneracy_control,0.083333,24
gold_deterministic,gold,provenance,0.875,24
gold_deterministic,gold,comparison_regime,0.041667,24
gold_deterministic,gold,report_path,0.875,24
